trigger_id	trigger_name	effect_index	de_raw	de_class	de_amount	restored_value	new_operation
2715	孽僧	7	65690	1	154	410	ADD
2715	孽僧	11	65690	1	154	410	ADD
2715	孽僧	15	65690	1	154	410	ADD
2715	孽僧	19	65690	1	154	410	ADD
2715	孽僧	23	65690	1	154	410	ADD
2715	孽僧	27	65690	1	154	410	ADD
2715	孽僧	31	65690	1	154	410	ADD
2715	孽僧	35	65690	1	154	410	ADD
2716	獅頭魔	3	196687	3	79	847	ADD
2716	獅頭魔	7	196687	3	79	847	ADD
2716	獅頭魔	11	196687	3	79	847	ADD
2716	獅頭魔	15	196687	3	79	847	ADD
2716	獅頭魔	19	196687	3	79	847	ADD
2718	斬狂	3	65724	1	188	444	ADD
2718	斬狂	7	65724	1	188	444	ADD
2718	斬狂	11	65724	1	188	444	ADD
2718	斬狂	15	65724	1	188	444	ADD
2718	斬狂	19	65724	1	188	444	ADD
2719	幽靈武士	3	131327	2	255	767	ADD
2719	幽靈武士	7	131327	2	255	767	ADD
2719	幽靈武士	11	131327	2	255	767	ADD
2719	幽靈武士	15	131327	2	255	767	ADD
2719	幽靈武士	19	131327	2	255	767	ADD
2721	狂屍	3	65561	1	25	281	ADD
2721	狂屍	7	65561	1	25	281	ADD
2721	狂屍	11	65561	1	25	281	ADD
2721	狂屍	15	65561	1	25	281	ADD
2721	狂屍	19	65561	1	25	281	ADD
2721	狂屍	23	65561	1	25	281	ADD
2721	狂屍	27	65561	1	25	281	ADD
2722	血鋼爪	3	131078	2	6	518	ADD
2722	血鋼爪	7	131078	2	6	518	ADD
2722	血鋼爪	11	131078	2	6	518	ADD
2722	血鋼爪	15	131078	2	6	518	ADD
2722	血鋼爪	19	131078	2	6	518	ADD
2722	血鋼爪	23	131078	2	6	518	ADD
2722	血鋼爪	27	131078	2	6	518	ADD
2723	飛鵬幫先鋒	3	262362	4	218	1242	ADD
2723	飛鵬幫先鋒	7	262362	4	218	1242	ADD
2724	飛鵬幫戰將	3	327834	5	154	1434	ADD
2724	飛鵬幫戰將	7	327834	5	154	1434	ADD
2725	飛鵬幫刀組	3	262395	4	251	1275	ADD
2725	飛鵬幫刀組	7	262395	4	251	1275	ADD
2725	飛鵬幫刀組	11	262395	4	251	1275	ADD
2725	飛鵬幫刀組	15	262395	4	251	1275	ADD
2725	飛鵬幫刀組	19	262395	4	251	1275	ADD
2726	狂夜叉(下)	3	65757	1	221	477	ADD
2726	狂夜叉(下)	7	65757	1	221	477	ADD
2726	狂夜叉(下)	11	65757	1	221	477	ADD
2726	狂夜叉(下)	15	65757	1	221	477	ADD
2726	狂夜叉(下)	19	65757	1	221	477	ADD
2726	狂夜叉(下)	23	65757	1	221	477	ADD
2726	狂夜叉(下)	27	65757	1	221	477	ADD
2727	狂夜叉(上)	3	65757	1	221	477	ADD
2727	狂夜叉(上)	7	65757	1	221	477	ADD
2727	狂夜叉(上)	11	65757	1	221	477	ADD
2727	狂夜叉(上)	15	65757	1	221	477	ADD
2727	狂夜叉(上)	19	65757	1	221	477	ADD
2728	炎武(左)	3	327750	5	70	1350	ADD
2728	炎武(左)	7	327750	5	70	1350	ADD
2728	炎武(左)	11	327750	5	70	1350	ADD
2729	炎武(右)	3	327750	5	70	1350	ADD
2729	炎武(右)	7	327750	5	70	1350	ADD
2729	炎武(右)	11	327750	5	70	1350	ADD
2729	炎武(右)	15	327750	5	70	1350	ADD
2730	靈鳳劍仙	3	327763	5	83	1363	ADD
2730	靈鳳劍仙	7	327763	5	83	1363	ADD
2730	靈鳳劍仙	11	327763	5	83	1363	ADD
2730	靈鳳劍仙	15	327763	5	83	1363	ADD
2732	偏將	3	65577	1	41	297	ADD
2732	偏將	7	65577	1	41	297	ADD
2732	偏將	11	65577	1	41	297	ADD
2732	偏將	15	65577	1	41	297	ADD
2733	鏢師	3	65553	1	17	273	ADD
2733	鏢師	7	65553	1	17	273	ADD
2733	鏢師	11	65553	1	17	273	ADD
2733	鏢師	15	65553	1	17	273	ADD
2733	鏢師	19	65553	1	17	273	ADD
3812	金鵬村	31	131143	2	71	583	ADD
3812	金鵬村	32	65604	1	68	324	ADD
3812	金鵬村	33	65703	1	167	423	ADD
3812	金鵬村	34	65624	1	88	344	ADD
3812	金鵬村	35	65577	1	41	297	ADD
3812	金鵬村	36	65542	1	6	262	ADD
3812	金鵬村	37	131095	2	23	535	ADD
3812	金鵬村	40	196837	3	229	997	ADD
3812	金鵬村	52	65673	1	137	393	ADD
3812	金鵬村	54	65673	1	137	393	ADD
3812	金鵬村	56	65673	1	137	393	ADD
3812	金鵬村	58	65673	1	137	393	ADD
3812	金鵬村	60	65673	1	137	393	ADD
3812	金鵬村	71	721060	11	164	2980	ADD
3853	渦怪	3	65571	1	35	291	ADD
3959	首領	3	1704070	26	134	6790	ADD
3998	豬王	3	589993	9	169	2473	ADD
4008	金銀	1	65762	1	226	482	ADD
4008	金銀	3	131153	2	81	593	ADD
4019	5大金2	5	65580	1	44	300	ADD
4019	5大金2	6	65580	1	44	300	ADD
4062	棍+箭	4	131155	2	83	595	ADD
4062	棍+箭	7	1769545	27	73	6985	ADD
4062	棍+箭	15	1310893	20	173	5293	ADD
4068	4段	14	65680	1	144	400	ADD
4068	4段	22	65580	1	44	300	ADD
4189	1哥5	2	-100	-1	65436	100	SUBTRACT
4189	1哥5	4	-50	-1	65486	50	SUBTRACT
4220	2哥5	2	-100	-1	65436	100	SUBTRACT
4220	2哥5	4	-100	-1	65436	100	SUBTRACT
4227	3哥5	2	-100	-1	65436	100	SUBTRACT
4227	3哥5	4	-100	-1	65436	100	SUBTRACT
4234	4哥5	2	-100	-1	65436	100	SUBTRACT
4234	4哥5	4	-100	-1	65436	100	SUBTRACT
4241	5哥5	2	-100	-1	65436	100	SUBTRACT
4241	5哥5	4	-100	-1	65436	100	SUBTRACT
4248	6哥5	2	-100	-1	65436	100	SUBTRACT
4248	6哥5	4	-100	-1	65436	100	SUBTRACT
4294	2+2	0	-10	-1	65526	10	SUBTRACT
4294	2+2	1	-10	-1	65526	10	SUBTRACT
4296	2++2	0	-10	-1	65526	10	SUBTRACT
4296	2++2	1	-10	-1	65526	10	SUBTRACT
4300	1酒4	4	-5	-1	65531	5	SUBTRACT
4300	1酒4	7	-5	-1	65531	5	SUBTRACT
4304	2酒4	5	-5	-1	65531	5	SUBTRACT
4304	2酒4	8	-7	-1	65529	7	SUBTRACT
4308	3酒4	4	-5	-1	65531	5	SUBTRACT
4308	3酒4	7	-5	-1	65531	5	SUBTRACT
4312	4酒4	4	-5	-1	65531	5	SUBTRACT
4312	4酒4	7	-5	-1	65531	5	SUBTRACT
4316	5酒4	4	-5	-1	65531	5	SUBTRACT
4316	5酒4	7	-5	-1	65531	5	SUBTRACT
4320	6酒4	4	-5	-1	65531	5	SUBTRACT
4320	6酒4	7	-5	-1	65531	5	SUBTRACT
4324	2++2	2	-2	-1	65534	2	SUBTRACT
4328	1春4	2	-50	-1	65486	50	SUBTRACT
4328	1春4	3	-50	-1	65486	50	SUBTRACT
4332	2春4	2	-50	-1	65486	50	SUBTRACT
4332	2春4	3	-50	-1	65486	50	SUBTRACT
4336	3春4	2	-50	-1	65486	50	SUBTRACT
4336	3春4	3	-50	-1	65486	50	SUBTRACT
4340	4春4	2	-50	-1	65486	50	SUBTRACT
4340	4春4	3	-50	-1	65486	50	SUBTRACT
4344	5春4	2	-50	-1	65486	50	SUBTRACT
4344	5春4	3	-50	-1	65486	50	SUBTRACT
4348	6春4	2	-50	-1	65486	50	SUBTRACT
4348	6春4	3	-50	-1	65486	50	SUBTRACT
4364	1王4	2	-100	-1	65436	100	SUBTRACT
4364	1王4	3	-100	-1	65436	100	SUBTRACT
4366	2+2	0	-25	-1	65511	25	SUBTRACT
4366	2+2	1	-25	-1	65511	25	SUBTRACT
4368	2++2	0	-25	-1	65511	25	SUBTRACT
4368	2++2	1	-25	-1	65511	25	SUBTRACT
4372	2王4	2	-100	-1	65436	100	SUBTRACT
4372	2王4	3	-100	-1	65436	100	SUBTRACT
4376	3王4	2	-100	-1	65436	100	SUBTRACT
4376	3王4	3	-100	-1	65436	100	SUBTRACT
4380	4王4	2	-100	-1	65436	100	SUBTRACT
4380	4王4	3	-100	-1	65436	100	SUBTRACT
4384	5王4	2	-100	-1	65436	100	SUBTRACT
4384	5王4	3	-100	-1	65436	100	SUBTRACT
4388	6王4	2	-100	-1	65436	100	SUBTRACT
4388	6王4	3	-100	-1	65436	100	SUBTRACT
4390	2+2	0	-25	-1	65511	25	SUBTRACT
4390	2+2	1	-25	-1	65511	25	SUBTRACT
4392	2++2	0	-25	-1	65511	25	SUBTRACT
4392	2++2	1	-25	-1	65511	25	SUBTRACT
4421	賓名	34	65673	1	137	393	ADD
4421	賓名	39	65772	1	236	492	ADD
4421	賓名	42	721097	11	201	3017	ADD
4421	賓名	44	131206	2	134	646	ADD
4421	賓名	46	393339	6	123	1659	ADD
4421	賓名	48	65664	1	128	384	ADD
4421	賓名	50	65744	1	208	464	ADD
4421	賓名	52	131145	2	73	585	ADD
4421	賓名	54	262159	4	15	1039	ADD
4421	賓名	56	196731	3	123	891	ADD
4421	賓名	58	852066	13	98	3426	ADD
4421	賓名	60	262193	4	49	1073	ADD
4421	賓名	63	-124	-1	65412	124	SUBTRACT
4421	賓名	67	458919	7	167	1959	ADD
4421	賓名	69	131114	2	42	554	ADD
4486	1內	3	-100	-1	65436	100	SUBTRACT
4486	1內	5	-100	-1	65436	100	SUBTRACT
4499	1內2	3	-100	-1	65436	100	SUBTRACT
4501	2內	3	-100	-1	65436	100	SUBTRACT
4501	2內	5	-100	-1	65436	100	SUBTRACT
4502	2內2	3	-100	-1	65436	100	SUBTRACT
4512	3內	3	-100	-1	65436	100	SUBTRACT
4512	3內	5	-100	-1	65436	100	SUBTRACT
4513	3內2	3	-100	-1	65436	100	SUBTRACT
4515	4內	3	-100	-1	65436	100	SUBTRACT
4515	4內	5	-100	-1	65436	100	SUBTRACT
4516	4內2	3	-100	-1	65436	100	SUBTRACT
4518	5內	3	-100	-1	65436	100	SUBTRACT
4518	5內	5	-100	-1	65436	100	SUBTRACT
4519	5內2	3	-100	-1	65436	100	SUBTRACT
4521	6內	3	-100	-1	65436	100	SUBTRACT
4521	6內	5	-100	-1	65436	100	SUBTRACT
4522	6內2	3	-100	-1	65436	100	SUBTRACT
4661	成吉1	1	2228320	34	96	8800	ADD
4661	成吉1	5	2228320	34	96	8800	ADD
4662	觸發事件 4816	3	721101	11	205	3021	ADD
4663	書台部1	1	2424860	37	28	9500	ADD
4663	書台部1	5	2424860	37	28	9500	ADD
4665	武士1	1	3539120	54	176	14000	ADD
4665	武士1	5	3539120	54	176	14000	ADD
4665	武士1	9	3539120	54	176	14000	ADD
4667	火砲1	1	6357160	97	168	25000	ADD
4667	火砲1	5	6357160	97	168	25000	ADD
4669	武士2	1	4980980	76	244	19700	ADD
4669	武士2	5	4980980	76	244	19700	ADD
4671	武士3	1	2031680	31	64	8000	ADD
4671	武士3	5	2031680	31	64	8000	ADD
4671	武士3	9	2031680	31	64	8000	ADD
4672	成及2	1	5046360	77	88	19800	ADD
4672	成及2	5	5046360	77	88	19800	ADD
4673	火砲2	1	5111840	78	32	20000	ADD
4673	火砲2	4	7667760	117	48	30000	ADD
4674	書部台2	1	3604600	55	120	14200	ADD
4674	書部台2	5	3604600	55	120	14200	ADD
4681	鐵鎚	1	7667760	117	48	30000	ADD
4681	鐵鎚	6	7667760	117	48	30000	ADD
4709	刀3	2	5373960	82	8	21000	ADD
4709	刀3	4	5373960	82	8	21000	ADD
4710	刀4	0	11337976	173	248	21000	SUBTRACT
4710	刀4	4	11337976	173	248	21000	SUBTRACT
4713	2刀3	0	5111840	78	32	20000	ADD
4713	2刀3	1	5111840	78	32	20000	ADD
4714	2刀4	0	11600096	177	224	20000	SUBTRACT
4714	2刀4	1	11600096	177	224	20000	SUBTRACT
4717	3刀3	0	6095040	93	192	24000	ADD
4717	3刀3	1	6095040	93	192	24000	ADD
4718	3刀4	0	10616896	162	64	24000	SUBTRACT
4718	3刀4	1	10616896	162	64	24000	SUBTRACT
4721	4刀3	0	5111840	78	32	20000	ADD
4721	4刀3	1	5111840	78	32	20000	ADD
4722	4刀4	0	11600096	177	224	20000	SUBTRACT
4722	4刀4	1	11600096	177	224	20000	SUBTRACT
4725	5刀3	0	5111840	78	32	20000	ADD
4725	5刀3	1	5111840	78	32	20000	ADD
4726	5刀4	0	11600096	177	224	20000	SUBTRACT
4726	5刀4	1	11600096	177	224	20000	SUBTRACT
4727	6刀3	0	6095040	93	192	24000	ADD
4727	6刀3	1	6095040	93	192	24000	ADD
4728	6刀4	0	10616896	162	64	24000	SUBTRACT
4728	6刀4	1	10616896	162	64	24000	SUBTRACT
4785	周賓	8	2555920	39	16	10000	ADD
4785	周賓	9	2752760	42	248	11000	ADD
4785	周賓	10	2555920	39	16	10000	ADD
4785	周賓	11	2752760	42	248	11000	ADD
4785	周賓	12	2752760	42	248	11000	ADD
4785	周賓	13	2293800	35	40	9000	ADD
4785	周賓	14	2555920	39	16	10000	ADD
4785	周賓	15	3801140	58	52	14900	ADD
4786	紅衣	3	65740	1	204	460	ADD
4786	紅衣	7	65740	1	204	460	ADD
4786	紅衣	11	65740	1	204	460	ADD
4786	紅衣	15	65740	1	204	460	ADD
4787	9天	3	65670	1	134	390	ADD
4787	9天	7	65670	1	134	390	ADD
4787	9天	11	65670	1	134	390	ADD
4788	劍勇	3	131235	2	163	675	ADD
4788	劍勇	7	131235	2	163	675	ADD
4788	劍勇	11	131235	2	163	675	ADD
4789	遊俠	3	65711	1	175	431	ADD
4789	遊俠	7	65711	1	175	431	ADD
4801	刀馬駝	0	196840	3	232	1000	ADD
4802	劍馬駝	0	196840	3	232	1000	ADD
4803	槍馬駝	0	196840	3	232	1000	ADD
4804	棍馬駝	0	196840	3	232	1000	ADD
4805	拳馬駝	0	196840	3	232	1000	ADD
4806	箭馬駝	0	196840	3	232	1000	ADD
4883	金獅	0	2555920	39	16	10000	ADD
4884	金獅2	0	14156016	216	240	10000	SUBTRACT
4885	銀龍	0	2031680	31	64	8000	ADD
4886	銀龍2	0	13434936	205	56	13000	SUBTRACT
4951	馬	7	2555920	39	16	10000	ADD
4951	馬	10	1048610	16	34	4130	ADD
4951	馬	22	7929880	121	24	31000	ADD
4951	馬	31	3145780	48	52	12340	ADD
4951	馬	32	3145780	48	52	12340	ADD
4951	馬	33	3145780	48	52	12340	ADD
4951	馬	34	3145780	48	52	12340	ADD
4951	馬	35	3145780	48	52	12340	ADD
4951	馬	36	3145780	48	52	12340	ADD
4951	馬	37	2425086	37	254	9726	ADD
4951	馬	38	5373996	82	44	21036	ADD
4951	馬	39	7995427	122	35	31267	ADD
4951	馬	41	131179	2	107	619	ADD
4970		0	-200	-1	65336	200	SUBTRACT
4972		0	-200	-1	65336	200	SUBTRACT
4974		0	-200	-1	65336	200	SUBTRACT
4976		0	-200	-1	65336	200	SUBTRACT
4978		0	-200	-1	65336	200	SUBTRACT
4986		0	1245320	19	136	5000	ADD
4987		0	-1245320	-20	65400	5000	SUBTRACT
4989	小哈1	0	16711736	255	56	200	SUBTRACT
4990	周賓???	0	5111840	78	32	20000	ADD
4991	周賓2！！！	0	11600096	177	224	20000	SUBTRACT
4992	魔弓	0	7143520	109	96	28000	ADD
4993	魔弓2	0	9568416	146	160	28000	SUBTRACT
4996	落駱1	0	2555920	39	16	10000	ADD
4997	落駱2	0	14156016	216	240	10000	SUBTRACT
5039	塔魂	1	2555920	39	16	10000	ADD
5039	塔魂	2	2555920	39	16	10000	ADD
5039	塔魂	3	2555920	39	16	10000	ADD
5039	塔魂	4	2555920	39	16	10000	ADD
5039	塔魂	5	2555920	39	16	10000	ADD
5113	豬頭	3	1114209	17	97	4449	ADD
5131	冷月2	0	3801240	58	152	15000	ADD
5132	冷月3	0	12910696	197	104	15000	SUBTRACT
5203	南宮尾葉1111	0	2555920	39	16	10000	ADD
5204	南宮尾葉11111	0	14156016	216	240	10000	SUBTRACT
5208	南宮尾葉2222	0	2555920	39	16	10000	ADD
5209	南宮尾葉22222	0	14156016	216	240	10000	SUBTRACT
5213	南宮尾葉3333	0	2555920	39	16	10000	ADD
5214	南宮尾葉33333	0	14156016	216	240	10000	SUBTRACT
5216	南宮尾葉44	5	16646356	254	212	300	SUBTRACT
5218	南宮尾葉4444	0	2555920	39	16	10000	ADD
5219	南宮尾葉44444	0	14156016	216	240	10000	SUBTRACT
5223	南宮尾葉5555	0	2555920	39	16	10000	ADD
5224	南宮尾葉55555	0	14156016	216	240	10000	SUBTRACT
5228	南宮尾葉6666	0	2555920	39	16	10000	ADD
5229	南宮尾葉66666	0	14156016	216	240	10000	SUBTRACT
5230	修1	18	8781983	134	159	31073	SUBTRACT
5230	修1	21	458960	7	208	2000	ADD
5230	修1	22	9044176	138	208	30000	SUBTRACT
